Date,Fight Link,Event Link,Fight Number,Round,Fighter 1,Fighter 2,Fighter 1 Link,Fighter 2 Link,Fighter 1 TD,Fighter 2 TD,Fighter 1 Sub Att,Fighter 2 Sub Att,Fighter 1 Rev,Fighter 2 Rev,Fighter 1 Ctrl,Fighter 2 Ctrl,Fighter 1 KD,Fighter 2 KD,Fighter 1 Total SS,Fighter 2 Total SS,Fighter 1 Head SS,Fighter 2 Head SS,Fighter 1 Body SS,Fighter 2 Body SS,Fighter 1 Leg SS,Fighter 2 Leg SS,Fighter 1 Distance SS,Fighter 2 Distance SS,Fighter 1 Clinch SS,Fighter 2 Clinch SS,Fighter 1 Ground SS,Fighter 2 Ground SS
2026-08-22,http://ufcstats.com/fight-details/fb77b08a90b92d5b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,13,1,Anthony Hernandez,Gregory Rodrigues,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,0 of 7,0 of 0,0,0,0,0,2:48,0:04,0,0,10 of 19,25 of 33,10 of 19,15 of 21,0 of 0,10 of 12,0 of 0,0 of 0,5 of 12,14 of 21,5 of 7,9 of 10,0 of 0,2 of 2
2026-08-22,http://ufcstats.com/fight-details/fb77b08a90b92d5b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,13,2,Anthony Hernandez,Gregory Rodrigues,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,1 of 2,0 of 0,0,0,0,0,1:02,1:12,0,2,19 of 39,52 of 83,19 of 39,26 of 53,0 of 0,14 of 16,0 of 0,12 of 14,18 of 37,41 of 65,1 of 2,5 of 8,0 of 0,6 of 10
2026-08-22,http://ufcstats.com/fight-details/fb77b08a90b92d5b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,13,3,Anthony Hernandez,Gregory Rodrigues,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,1 of 9,0 of 0,0,0,0,0,3:49,0:00,0,0,12 of 20,12 of 23,12 of 20,10 of 19,0 of 0,1 of 3,0 of 0,1 of 1,4 of 12,5 of 12,5 of 5,7 of 11,3 of 3,0 of 0
2026-08-22,http://ufcstats.com/fight-details/fb77b08a90b92d5b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,13,4,Anthony Hernandez,Gregory Rodrigues,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,1 of 6,0 of 0,0,0,0,0,1:20,0:00,0,0,25 of 50,58 of 95,24 of 49,42 of 76,1 of 1,8 of 11,0 of 0,8 of 8,21 of 44,54 of 89,4 of 6,4 of 6,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/fb77b08a90b92d5b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,13,5,Anthony Hernandez,Gregory Rodrigues,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,0 of 5,0 of 0,0,0,0,0,1:41,1:24,0,1,24 of 31,27 of 49,24 of 31,18 of 40,0 of 0,6 of 6,0 of 0,3 of 3,16 of 20,21 of 41,5 of 8,6 of 8,3 of 3,0 of 0
2026-08-22,http://ufcstats.com/fight-details/a57ccf31c5f6f82b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,12,1,Serghei Spivac,Vitor Petrino,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,http://ufcstats.com/fighter-details/71171fc96445bf65,0 of 0,0 of 0,0,0,0,0,0:00,0:00,0,0,7 of 29,23 of 41,7 of 29,3 of 16,0 of 0,8 of 12,0 of 0,12 of 13,7 of 29,23 of 41,0 of 0,0 of 0,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/a57ccf31c5f6f82b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,12,2,Serghei Spivac,Vitor Petrino,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,http://ufcstats.com/fighter-details/71171fc96445bf65,0 of 1,1 of 2,0,0,1,0,0:22,4:09,0,0,3 of 5,19 of 24,3 of 5,15 of 19,0 of 0,3 of 4,0 of 0,1 of 1,1 of 3,1 of 2,0 of 0,2 of 3,2 of 2,16 of 19
2026-08-22,http://ufcstats.com/fight-details/a57ccf31c5f6f82b,http://ufcstats.com/event-details/a0a69dc9914ef6e1,12,3,Serghei Spivac,Vitor Petrino,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,http://ufcstats.com/fighter-details/71171fc96445bf65,0 of 1,3 of 4,0,0,0,0,0:00,1:58,0,0,13 of 33,22 of 34,12 of 31,12 of 23,1 of 2,2 of 3,0 of 0,8 of 8,13 of 33,19 of 31,0 of 0,2 of 2,0 of 0,1 of 1
2026-08-22,http://ufcstats.com/fight-details/0eba299c9b6760fa,http://ufcstats.com/event-details/a0a69dc9914ef6e1,11,1,Reinier de Ridder,Roman Dolidze,http://ufcstats.com/fighter-details/d549cefc7c54ab78,http://ufcstats.com/fighter-details/327d5f279895110d,0 of 0,0 of 0,0,0,0,0,3:41,0:00,0,0,71 of 83,1 of 4,70 of 82,0 of 3,1 of 1,0 of 0,0 of 0,1 of 1,3 of 5,1 of 4,0 of 0,0 of 0,68 of 78,0 of 0
2026-08-22,http://ufcstats.com/fight-details/bf70d01518c80fba,http://ufcstats.com/event-details/a0a69dc9914ef6e1,10,1,MarQuel Mederos,Mason Jones,http://ufcstats.com/fighter-details/e2be0c1a9b886d92,http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d,0 of 3,1 of 1,0,0,1,0,0:50,0:30,0,0,41 of 58,48 of 97,26 of 41,32 of 79,3 of 4,13 of 15,12 of 13,3 of 3,38 of 51,36 of 83,3 of 5,8 of 9,0 of 2,4 of 5
