Date,Event Link,Fight Link,Fight Number,Weight Class,Gender,Title,Fighter 1,Fighter 1 Link,Fighter 1 Odds,Fighter 2,Fighter 2 Link,Fighter 2 Odds,Time Format
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/228fefc6923c40a5,13,Bantamweight,Male,No,Song Yadong,http://ufcstats.com/fighter-details/efb96bf3e9ada36f,410,Umar Nurmagomedov,http://ufcstats.com/fighter-details/2b6fc1c02736833d,-550,5 Rnd (5-5-5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/73cb6c4e060c4ee9,12,Strawweight,Female,No,Denise Gomes,http://ufcstats.com/fighter-details/cffb87059e645bd1,115,Yan Xiaonan,http://ufcstats.com/fighter-details/c41d426cc7326d1b,-145,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/4af8cb715ac0d459,11,Bantamweight,Male,No,Aoriqileng,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,320,Kai Asakura,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,-400,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/48a5d9c4592d2f2a,10,Flyweight,Male,No,Alex Perez,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,165,Sumudaerji,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,-210,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/f894989058f2bb05,9,Light Heavyweight,Male,No,Levi Rodrigues Jr.,http://ufcstats.com/fighter-details/9ac4e43ed56429ed,160,Liu Ce,http://ufcstats.com/fighter-details/a9936818d709e2d7,-185,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/1fe768d599c159dc,8,Flyweight,Male,No,Bilal Hasan,http://ufcstats.com/fighter-details/5182316da3c1d891,-500,Nilson Rojas,http://ufcstats.com/fighter-details/bf60dd3256801649,385,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/80f7f5405d5ffca0,7,Flyweight,Male,No,Andre Lima,http://ufcstats.com/fighter-details/b1f21ce050035d58,-250,Namsrai Batbayar,http://ufcstats.com/fighter-details/e1f8beeb6d2d871a,200,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/ec5281a72f09d8ac,6,Flyweight,Male,No,Kevin Borjas,http://ufcstats.com/fighter-details/34b96d52db1d26e6,450,Rei Tsuruya,http://ufcstats.com/fighter-details/2f43a3e82661fa99,-600,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/8a980234dab7ae43,5,Featherweight,Male,No,Jack Jenkins,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,125,Sean Woodson,http://ufcstats.com/fighter-details/4682bc59d5f55145,-150,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/636867bbc9f96739,4,Bantamweight,Male,No,Francesco Nuzzi,http://ufcstats.com/fighter-details/874cfc98877daecd,155,Xiao Long,http://ufcstats.com/fighter-details/86bace9e4ad85542,-180,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/ab5922e10699e869,3,Bantamweight,Male,No,Hector Santiago,http://ufcstats.com/fighter-details/8e4902b4a8045070,250,Lawrence Lui,http://ufcstats.com/fighter-details/a1ad35b98a9136e5,-300,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/6206c62fc8f0b71b,2,Strawweight,Female,No,Julia Polastri,http://ufcstats.com/fighter-details/abb68e3c7ca128f2,-200,Xiong Jingnan,http://ufcstats.com/fighter-details/2cdb479a0ef0ee1d,155,3 Rnd (5-5-5)
2026-08-29,http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/6cd4457edf4089f9,1,Welterweight,Male,No,Cam Nelson,http://ufcstats.com/fighter-details/34d4cae19105eb68,-110,Ding Meng,http://ufcstats.com/fighter-details/e0664abaa023fd6f,-110,3 Rnd (5-5-5)
