Date,Event Link,Event,Location,Venue,Attendance
2026-08-22,http://ufcstats.com/event-details/a0a69dc9914ef6e1,UFC Fight Night: Hernandez vs. Rodrigues,"Sacramento, California, USA",Golden 1 Center,16867
2026-08-15,http://ufcstats.com/event-details/b96619b3acd7d9da,UFC 330: Makhachev vs. Machado Garry,"Philadelphia, Pennsylvania, USA",Xfinity Mobile Arena,19236
2026-08-08,http://ufcstats.com/event-details/495add4fbede0a44,UFC Fight Night: Gamrot vs. Salkilld,"Las Vegas, Nevada, USA",Meta Apex,
2026-08-01,http://ufcstats.com/event-details/1a50e734bb54861a,UFC Fight Night: Medic vs. Rodriguez,"Belgrade, Vojvodina, Serbia",Belgrade Arena,18623
2026-07-25,http://ufcstats.com/event-details/681d07e328798ec0,UFC Fight Night: Ankalaev vs. Guskov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,
2026-07-18,http://ufcstats.com/event-details/f354c50b8d63d9b3,UFC Fight Night: Du Plessis vs. Usman,"Oklahoma City, Oklahoma, USA",Paycom Center,17173
2026-07-11,http://ufcstats.com/event-details/fccb0fee256b7b4d,UFC 329: McGregor vs. Holloway 2,"Las Vegas, Nevada, USA",T-Mobile Arena,20078
2026-06-27,http://ufcstats.com/event-details/31e1ea6fe6b682f8,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",National Gymnastics Arena,
2026-06-20,http://ufcstats.com/event-details/c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Meta Apex,
2026-06-14,http://ufcstats.com/event-details/48544433372ecfa6,UFC Freedom 250,"Washington, DC, USA",White House,
2026-06-06,http://ufcstats.com/event-details/ba17afef01ed78b6,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Meta Apex,
2026-05-30,http://ufcstats.com/event-details/1e75e6c9de99fa76,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Galaxy Arena,12647
2026-05-16,http://ufcstats.com/event-details/73abb7a5c57fb443,UFC Fight Night: Allen vs. Costa,"Las Vegas, Nevada, USA",Meta Apex,
2026-05-09,http://ufcstats.com/event-details/9eedac48b497de5a,UFC 328: Chimaev vs. Strickland,"Newark, New Jersey, USA",Prudential Center,17783
2026-05-02,http://ufcstats.com/event-details/872b018076f831b0,UFC Fight Night: Della Maddalena vs. Prates,"Perth, Western Australia, Australia",RAC Arena,13839
2026-04-25,http://ufcstats.com/event-details/e60d773a0a42048a,UFC Fight Night: Sterling vs. Zalal,"Las Vegas, Nevada, USA",Meta Apex,
2026-04-18,http://ufcstats.com/event-details/c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,"Winnipeg, Manitoba, Canada",Canada Life Centre,14051
2026-04-11,http://ufcstats.com/event-details/f3eb664db7fb1df3,UFC 327: Prochazka vs. Ulberg,"Miami, Florida, USA",Kaseya Center,17741
2026-04-04,http://ufcstats.com/event-details/9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"Las Vegas, Nevada, USA",Meta Apex,
2026-03-28,http://ufcstats.com/event-details/5c38639f860a5542,UFC Fight Night: Adesanya vs. Pyfer,"Seattle, Washington, USA",Climate Pledge Arena,17854
2026-03-21,http://ufcstats.com/event-details/69108cb8b32efe04,UFC Fight Night: Evloev vs. Murphy,"London, England, United Kingdom",The O 2 Arena,18629
2026-03-14,http://ufcstats.com/event-details/babc6b5745335f18,UFC Fight Night: Emmett vs. Vallejos,"Las Vegas, Nevada, USA",Meta Apex,
2026-03-07,http://ufcstats.com/event-details/15ec018d144710db,UFC 326: Holloway vs. Oliveira 2,"Las Vegas, Nevada, USA",T-Mobile Arena,19480
2026-02-28,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,UFC Fight Night: Moreno vs. Kavanagh,"Mexico City, Distrito Federal, Mexico",Arena CDMX,16454
2026-02-21,http://ufcstats.com/event-details/79ab17db3b40831a,UFC Fight Night: Strickland vs. Hernandez,"Houston, Texas, USA",Toyota Center,17160
2026-02-07,http://ufcstats.com/event-details/c337c3c85b1871e0,UFC Fight Night: Bautista vs. Oliveira,"Las Vegas, Nevada, USA",Meta Apex,
2026-01-31,http://ufcstats.com/event-details/30ad2050273d016a,UFC 325: Volkanovski vs. Lopes 2,"Sydney, New South Wales, Australia",Qudos Bank Arena,18102
2026-01-24,http://ufcstats.com/event-details/00e11b5c8b7bfeeb,UFC 324: Gaethje vs. Pimblett,"Las Vegas, Nevada, USA",T-Mobile Arena,19481
2025-12-13,http://ufcstats.com/event-details/bc0f994de0521926,UFC Fight Night: Royval vs. Kape,"Las Vegas, Nevada, USA",UFC Apex,
2025-12-06,http://ufcstats.com/event-details/bd92cf5da5413d2a,UFC 323: Dvalishvili vs. Yan 2,"Las Vegas, Nevada, USA",T-Mobile Arena,18603
2025-11-22,http://ufcstats.com/event-details/92c96df8bdab5fea,UFC Fight Night: Tsarukyan vs. Hooker,"Doha, Qatar",Ali Bin Hamad al-Attiyah Arena,
2025-11-15,http://ufcstats.com/event-details/8db1b36dde268ef6,UFC 322: Della Maddalena vs. Makhachev,"New York City, New York, USA",Madison Square Garden,20664
2025-11-08,http://ufcstats.com/event-details/6436029b50a9c255,UFC Fight Night: Bonfim vs. Brown,"Las Vegas, Nevada, USA",UFC Apex,
2025-11-01,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,UFC Fight Night: Garcia vs. Onama,"Las Vegas, Nevada, USA",UFC Apex,
2025-10-25,http://ufcstats.com/event-details/7956f026e2672c47,UFC 321: Aspinall vs. Gane,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,13220
2025-10-18,http://ufcstats.com/event-details/38e5d9dcb0fddc42,UFC Fight Night: De Ridder vs. Allen,"Vancouver, British Columbia, Canada",Rogers Arena,17671
2025-10-11,http://ufcstats.com/event-details/9336e86cfd4ceaa1,UFC Fight Night: Oliveira vs. Gamrot,"Rio de Janeiro, Rio de Janeiro, Brazil",Farmasi Arena,16297
2025-10-04,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,UFC 320: Ankalaev vs. Pereira 2,"Las Vegas, Nevada, USA",T-Mobile Arena,19081
2025-09-27,http://ufcstats.com/event-details/ed220e87bef0cc64,UFC Fight Night: Ulberg vs. Reyes,"Perth, Western Australia, Australia",RAC Arena,12543
2025-09-13,http://ufcstats.com/event-details/5efaaf313b652dd7,Noche UFC: Lopes vs. Silva,"San Antonio, Texas, USA",Frost Bank Center,18005
2025-09-06,http://ufcstats.com/event-details/6e380a4d73ab4f0e,UFC Fight Night: Imavov vs. Borralho,"Paris, Ile-de-France, France",Accor Arena,15724
2025-08-23,http://ufcstats.com/event-details/754968e325d6f60d,UFC Fight Night: Walker vs. Zhang,"Shanghai, Hebei, China",Shanghai Indoor Stadium,
2025-08-16,http://ufcstats.com/event-details/421ccfc6ddb17958,UFC 319: Du Plessis vs. Chimaev,"Chicago, Illinois, USA",United Center,20023
2025-08-09,http://ufcstats.com/event-details/6cd3dfc54f01287f,UFC Fight Night: Dolidze vs. Hernandez,"Las Vegas, Nevada, USA",UFC Apex,
2025-08-02,http://ufcstats.com/event-details/f2c934689243fe4e,UFC Fight Night: Taira vs. Park,"Las Vegas, Nevada, USA",UFC Apex,
2025-07-26,http://ufcstats.com/event-details/28d8638ea0a71908,UFC Fight Night: Whittaker vs. De Ridder,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,
2025-07-19,http://ufcstats.com/event-details/b8e2f10efb6eca85,UFC 318: Holloway vs. Poirier 3,"New Orleans, Louisiana, USA",Smoothie King Center,18138
2025-07-12,http://ufcstats.com/event-details/7b03d9df5910917d,UFC Fight Night: Lewis vs. Teixeira,"Nashville, Tennessee, USA",Bridgestone Arena,17007
2025-06-28,http://ufcstats.com/event-details/66766984842c13dc,UFC 317: Topuria vs. Oliveira,"Las Vegas, Nevada, USA",T-Mobile Arena,19800
2025-06-21,http://ufcstats.com/event-details/400c7b43c86d27d3,UFC Fight Night: Hill vs. Rountree Jr.,"Baku, Azerbaijan",Baku Crystal Hall,14424
2025-06-14,http://ufcstats.com/event-details/de277a4abcfeea46,UFC Fight Night: Usman vs. Buckley,"Atlanta, Georgia, USA",State Farm Arena,17204
2025-06-07,http://ufcstats.com/event-details/18c49685296c60e6,UFC 316: Dvalishvili vs. O'Malley 2,"Newark, New Jersey, USA",Prudential Center,17343
2025-05-31,http://ufcstats.com/event-details/2a898bf9fb7710b3,UFC Fight Night: Blanchfield vs. Barber,"Las Vegas, Nevada, USA",UFC Apex,
2025-05-17,http://ufcstats.com/event-details/8ad022dd81224f61,UFC Fight Night: Burns vs. Morales,"Las Vegas, Nevada, USA",UFC Apex,
2025-05-10,http://ufcstats.com/event-details/118463dd8db16e7f,UFC 315: Muhammad vs. Della Maddalena,"Montreal, Quebec, Canada",Bell Centre,19786
2025-05-03,http://ufcstats.com/event-details/de20ffb3fc2e7629,UFC Fight Night: Sandhagen vs. Figueiredo,"Des Moines, Iowa, USA",Wells Fargo Arena,15627
2025-04-26,http://ufcstats.com/event-details/b2e3aca4cd363477,UFC Fight Night: Machado Garry vs. Prates,"Kansas City, Missouri, USA",T-Mobile Center,15984
2025-04-12,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,UFC 314: Volkanovski vs. Lopes,"Miami, Florida, USA",Kaseya Center,18287
2025-04-05,http://ufcstats.com/event-details/86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"Las Vegas, Nevada, USA",UFC Apex,
2025-03-29,http://ufcstats.com/event-details/0f7210aa8d61af8d,UFC Fight Night: Moreno vs. Erceg,"Mexico City, Distrito Federal, Mexico",Arena CDMX,19731
2025-03-22,http://ufcstats.com/event-details/cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,"London, England, United Kingdom",The O 2 Arena,18583
2025-03-15,http://ufcstats.com/event-details/39f62b833e4cf126,UFC Fight Night: Vettori vs. Dolidze 2,"Las Vegas, Nevada, USA",UFC Apex,
2025-03-08,http://ufcstats.com/event-details/ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,"Las Vegas, Nevada, USA",T-Mobile Arena,18869
2025-03-01,http://ufcstats.com/event-details/9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,"Las Vegas, Nevada, USA",UFC Apex,
2025-02-22,http://ufcstats.com/event-details/c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,"Seattle, Washington, USA",Climate Pledge Arena,18287
2025-02-15,http://ufcstats.com/event-details/ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,"Las Vegas, Nevada, USA",UFC Apex,
2025-02-08,http://ufcstats.com/event-details/e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,"Sydney, New South Wales, Australia",Qudos Bank Arena,18537
2025-02-01,http://ufcstats.com/event-details/80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,"Riyadh, Riyadh, Saudi Arabia",anb Arena,
2025-01-18,http://ufcstats.com/event-details/39f68882def7a507,UFC 311: Makhachev vs. Moicano,"Inglewood, California, USA",Intuit Dome,18370
2025-01-11,http://ufcstats.com/event-details/81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,"Las Vegas, Nevada, USA",UFC Apex,
2024-12-14,http://ufcstats.com/event-details/72c9c2eadfc3277e,UFC Fight Night: Covington vs. Buckley,"Tampa, Florida, USA",Amalie Arena,18625
2024-12-07,http://ufcstats.com/event-details/ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",T-Mobile Arena,18648
2024-11-23,http://ufcstats.com/event-details/e955046551f8c7dd,UFC Fight Night: Yan vs. Figueiredo,"Macau, China",Galaxy Arena,12615
2024-11-16,http://ufcstats.com/event-details/daff32bc96d1eabf,UFC 309: Jones vs. Miocic,"New York City, New York, USA",Madison Square Garden,20200
2024-11-09,http://ufcstats.com/event-details/585f9ffdb0cd0466,UFC Fight Night: Magny vs. Prates,"Las Vegas, Nevada, USA",UFC Apex,
2024-11-02,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",Rogers Place,16439
2024-10-26,http://ufcstats.com/event-details/221b2a3070c7ce3e,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,
2024-10-19,http://ufcstats.com/event-details/6a0047ac8c99fece,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",UFC Apex,
2024-10-12,http://ufcstats.com/event-details/5bdcbd8dd681a257,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",UFC Apex,
2024-10-05,http://ufcstats.com/event-details/eee8efec7b951d84,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",Delta Center,17487
2024-09-28,http://ufcstats.com/event-details/079488710f012779,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",Accor Arena,15449
2024-09-14,http://ufcstats.com/event-details/0c01568b1ac77bff,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",Sphere,16024
2024-09-07,http://ufcstats.com/event-details/ee0b69e307c857e5,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",UFC Apex,
2024-08-24,http://ufcstats.com/event-details/be8ad887e4d674b0,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",UFC Apex,
2024-08-17,http://ufcstats.com/event-details/32ba186f4b0e3267,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",RAC Arena,14152
2024-08-10,http://ufcstats.com/event-details/2c733e059462c1dc,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",UFC Apex,
2024-08-03,http://ufcstats.com/event-details/fe435e440b5de0ff,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,
2024-07-27,http://ufcstats.com/event-details/026b4f7049085842,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",Co-op Live,17907
2024-07-20,http://ufcstats.com/event-details/c11036da9162cb5f,UFC Fight Night: Lemos vs. Jandiroba,"Las Vegas, Nevada, USA",UFC Apex,
2024-07-13,http://ufcstats.com/event-details/66e0a70352fef46a,UFC Fight Night: Namajunas vs. Cortez,"Denver, Colorado, USA",Ball Arena,16884
2024-06-29,http://ufcstats.com/event-details/f3743d8ef5dde970,UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",T-Mobile Arena,18881
2024-06-22,http://ufcstats.com/event-details/b12a1d19ee383b7c,UFC Fight Night: Whittaker vs. Aliskerov,"Riyadh, Riyadh, Saudi Arabia",Kingdom Arena,
2024-06-15,http://ufcstats.com/event-details/9c5828c6fd9dc948,UFC Fight Night: Perez vs. Taira,"Las Vegas, Nevada, USA",UFC Apex,
2024-06-08,http://ufcstats.com/event-details/cba3a2dfbc06ce79,UFC Fight Night: Cannonier vs. Imavov,"Louisville, Kentucky, USA",KFC Yum! Center,19578
2024-06-01,http://ufcstats.com/event-details/6e4acc2c115215b5,UFC 302: Makhachev vs. Poirier,"Newark, New Jersey, USA",Prudential Center,17834
2024-05-18,http://ufcstats.com/event-details/46baf0f57edfa4df,UFC Fight Night: Barboza vs. Murphy,"Las Vegas, Nevada, USA",UFC Apex,
2024-05-11,http://ufcstats.com/event-details/5dfe71ade71f3a4b,UFC Fight Night: Lewis vs. Nascimento,"St. Louis, Missouri, USA",Enterprise Center,15960
2024-05-04,http://ufcstats.com/event-details/981ab7a0576f76a0,UFC 301: Pantoja vs. Erceg,"Rio de Janeiro, Rio de Janeiro, Brazil",Farmasi Arena,14514
2024-04-27,http://ufcstats.com/event-details/a16ce18149021139,UFC Fight Night: Nicolau vs. Perez,"Las Vegas, Nevada, USA",UFC Apex,
2024-04-13,http://ufcstats.com/event-details/6750e338922a099d,UFC 300: Pereira vs. Hill,"Las Vegas, Nevada, USA",T-Mobile Arena,20067
2024-04-06,http://ufcstats.com/event-details/899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"Las Vegas, Nevada, USA",UFC Apex,
2024-03-30,http://ufcstats.com/event-details/dba230fe33011201,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",Boardwalk Hall,12198
2024-03-23,http://ufcstats.com/event-details/79ff6545b0abc685,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",UFC Apex,
2024-03-16,http://ufcstats.com/event-details/c398235fcaf8d71d,UFC Fight Night: Tuivasa vs. Tybura,"Las Vegas, Nevada, USA",UFC Apex,
2024-03-09,http://ufcstats.com/event-details/a9df5ae20a97b090,UFC 299: O'Malley vs. Vera 2,"Miami, Florida, USA",Kaseya Center,19165
2024-03-02,http://ufcstats.com/event-details/e4a9dbade7c7e1a7,UFC Fight Night: Rozenstruik vs. Gaziev,"Las Vegas, Nevada, USA",UFC Apex,
2024-02-24,http://ufcstats.com/event-details/902ab9197b83d0db,UFC Fight Night: Moreno vs. Royval 2,"Mexico City, Distrito Federal, Mexico",Arena CDMX,21546
2024-02-17,http://ufcstats.com/event-details/dab0e6cb8c932162,UFC 298: Volkanovski vs. Topuria,"Anaheim, California, USA",Honda Center,18186
2024-02-10,http://ufcstats.com/event-details/eaea0fc7b76525a8,UFC Fight Night: Hermansson vs. Pyfer,"Las Vegas, Nevada, USA",UFC Apex,
2024-02-03,http://ufcstats.com/event-details/cce79e827569f26e,UFC Fight Night: Dolidze vs. Imavov,"Las Vegas, Nevada, USA",UFC Apex,
2024-01-20,http://ufcstats.com/event-details/bd85ca0bb4f26cfc,UFC 297: Strickland vs. Du Plessis,"Toronto, Ontario, Canada",Scotiabank Arena,18559
2024-01-13,http://ufcstats.com/event-details/010986ee359fb863,UFC Fight Night: Ankalaev vs. Walker 2,"Las Vegas, Nevada, USA",UFC Apex,
2023-12-16,http://ufcstats.com/event-details/a8e8587a06e73c87,UFC 296: Edwards vs. Covington,"Las Vegas, Nevada, USA",T-Mobile Arena,19039
2023-12-09,http://ufcstats.com/event-details/5ef0088c1b19beeb,UFC Fight Night: Song vs. Gutierrez,"Las Vegas, Nevada, USA",UFC Apex,
2023-12-02,http://ufcstats.com/event-details/53e4e21f4c688801,UFC Fight Night: Dariush vs. Tsarukyan,"Austin, Texas, USA",Moody Center,14485
2023-11-18,http://ufcstats.com/event-details/3feed7d02711d8b7,UFC Fight Night: Allen vs. Craig,"Las Vegas, Nevada, USA",UFC Apex,
2023-11-11,http://ufcstats.com/event-details/5a558ba1ff5e9121,UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",Madison Square Garden,19039
2023-11-04,http://ufcstats.com/event-details/7c4ec656d8fcb867,UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",Ginásio do Ibirapuera,10792
2023-10-21,http://ufcstats.com/event-details/13a0fb8fbdafb54f,UFC 294: Makhachev vs. Volkanovski 2,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,
2023-10-14,http://ufcstats.com/event-details/f3a078277b3b8ff4,UFC Fight Night: Yusuff vs. Barboza,"Las Vegas, Nevada, USA",UFC Apex,
2023-10-07,http://ufcstats.com/event-details/c8a49ff2acb6f3c5,UFC Fight Night: Dawson vs. Green,"Las Vegas, Nevada, USA",UFC Apex,
2023-09-23,http://ufcstats.com/event-details/c945adc22c2bfe8f,UFC Fight Night: Fiziev vs. Gamrot,"Las Vegas, Nevada, USA",UFC Apex,
2023-09-16,http://ufcstats.com/event-details/8fa2b06572365321,Noche UFC: Grasso vs. Shevchenko 2,"Las Vegas, Nevada, USA",T-Mobile Arena,18766
2023-09-09,http://ufcstats.com/event-details/ece280745f8727b8,UFC 293: Adesanya vs. Strickland,"Sydney, New South Wales, Australia",Qudos Bank Arena,18168
2023-09-02,http://ufcstats.com/event-details/ef61d9f5176b3200,UFC Fight Night: Gane vs. Spivac,"Paris, Ile-de-France, France",Accor Arena,15610
2023-08-26,http://ufcstats.com/event-details/89a407032911e27e,UFC Fight Night: Holloway vs. The Korean Zombie,"Kallang, Singapore",Singapore Indoor Stadium,10263
2023-08-19,http://ufcstats.com/event-details/2719f300b0439039,UFC 292: Sterling vs. O'Malley,"Boston, Massachusetts, USA",TD Garden,18293
2023-08-12,http://ufcstats.com/event-details/d2fa318f34d0aadc,UFC Fight Night: Luque vs. Dos Anjos,"Las Vegas, Nevada, USA",UFC Apex,
2023-08-05,http://ufcstats.com/event-details/6f81b6de2557739a,UFC Fight Night: Sandhagen vs. Font,"Nashville, Tennessee, USA",Bridgestone Arena,17792
2023-07-29,http://ufcstats.com/event-details/ccd58ff71e260ed5,UFC 291: Poirier vs. Gaethje 2,"Salt Lake City, Utah, USA",Delta Center,18467
2023-07-22,http://ufcstats.com/event-details/1174782eacde9b0c,UFC Fight Night: Aspinall vs. Tybura,"London, England, United Kingdom",The O2 Arena,15078
2023-07-15,http://ufcstats.com/event-details/c9885b1b7c7055a0,UFC Fight Night: Holm vs. Bueno Silva,"Las Vegas, Nevada, USA",UFC Apex,
2023-07-08,http://ufcstats.com/event-details/6085ceb59087514b,UFC 290: Volkanovski vs. Rodriguez,"Las Vegas, Nevada, USA",T-Mobile Arena,19204
2023-07-01,http://ufcstats.com/event-details/e9e1acc96536bb4f,UFC Fight Night: Strickland vs. Magomedov,"Las Vegas, Nevada, USA",UFC Apex,
2023-06-24,http://ufcstats.com/event-details/a780d16cf7eed44d,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",VyStar Veterans Memorial Arena,14101
2023-06-17,http://ufcstats.com/event-details/b9415726dc3ec526,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",UFC Apex,
2023-06-10,http://ufcstats.com/event-details/b6c6d1731ff00eeb,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",Rogers Arena,17628
2023-06-03,http://ufcstats.com/event-details/7abe471b61725980,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",UFC Apex,
2023-05-20,http://ufcstats.com/event-details/6f812143641ceff8,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",UFC Apex,
